cell,episode,episode_seconds,response_tokens,rollout_cap_hit,distillation_loss,gradient_norm_before_clip,optimizer_update_norm_applied,trust_region_achieved_kl,repetition_penalty
opsd_16,1,44.72230189992115,2102,False,0.005991578362412489,0.10337740182876587,0.024408846543384027,,1.1
opsd_16,2,40.45545286987908,1970,False,0.0052903881665262486,0.10527704656124115,0.02283893528703272,,1.1
opsd_16,3,104.86938227294013,4946,False,0.0028259672746436984,0.061047591269016266,0.021472535679987456,,1.1
opsd_16,4,175.19900824991055,7992,False,0.0026478747337556874,0.05289990082383156,0.020868020461078152,,1.1
opsd_16,5,50.1615519891493,2441,False,0.0026245518594778788,0.054290447384119034,0.02129979683252438,,1.1
opsd_16,6,33.70581838907674,1656,False,0.005728353766481513,0.10344098508358002,0.02167291119453023,,1.1
opsd_16,7,51.1689043759834,2495,False,0.005162157420673687,0.10931489616632462,0.021969716942289358,,1.1
opsd_16,8,110.97184005891904,5224,False,0.003366497920392506,0.06911592930555344,0.021991485719736217,,1.1
opsd_16,9,32.81202159402892,1596,False,0.006612349614351615,0.16794878244400024,0.022530419845019935,,1.1
opsd_16,10,37.17317956802435,1818,False,0.0037494703353258677,0.09125643968582153,0.022218264969541084,,1.1
opsd_16,11,51.47302313102409,2511,False,0.003402474133445418,0.16413544118404388,0.022383635996523953,,1.1
opsd_16,12,46.24012129101902,2270,False,0.005391853156454434,0.09406531602144241,0.02298810387003005,,1.1
opsd_16,13,16.346288492903113,778,False,0.005915598238454438,0.1681152731180191,0.023599582450325955,,1.1
opsd_16,14,62.130037343129516,3020,False,0.004670543945240263,0.09268071502447128,0.02326106614602382,,1.1
opsd_16,15,39.03057175502181,1914,False,0.0055529945483771825,0.14071637392044067,0.022934026573951258,,1.1
opsd_16,16,48.14672667696141,2372,False,0.004742045138458428,0.1313587725162506,0.023921182506176798,,1.1
lgsd_16,1,44.79406854393892,2102,False,0.003550011405657505,0.08075455576181412,0.024337498587591617,0.0038375862024292054,1.1
lgsd_16,2,32.16351679107174,1563,False,0.003641689402395079,0.10017930716276169,0.022712655187714065,0.003884426781088972,1.1
lgsd_16,3,223.89025017386302,10002,True,0.0017296042015552187,0.03307586535811424,0.019368459459214917,0.0016493747028332429,1.1
lgsd_16,4,213.1217709230259,9609,False,0.002485907871473086,0.04804353043437004,0.019688236427719677,0.0024858753375037583,1.1
lgsd_16,5,47.180097099160776,2305,False,0.0030561539379170715,0.05509005859494209,0.02033596075080707,0.003473749948537689,1.1
lgsd_16,6,43.834255749126896,2145,False,0.0034357080574740064,0.06437548249959946,0.020411376651367795,0.003944911788671445,1.1
lgsd_16,7,44.13116986397654,2151,False,0.0037201785550442816,0.0919400230050087,0.020911515802119918,0.003929332487531065,1.1
lgsd_16,8,61.35321390489116,2984,False,0.0031568131499471836,0.07344707101583481,0.02113017912079755,0.00310439144538331,1.1
lgsd_16,9,34.530516958096996,1689,False,0.0039603535619124886,0.11460486054420471,0.021823147963284936,0.003940935906677856,1.1
lgsd_16,10,79.37293576495722,3827,False,0.00299385803461324,0.05492645502090454,0.02189049167058406,0.003182298654453356,1.1
lgsd_16,11,37.227096118964255,1818,False,0.0037711459466607616,0.0907939001917839,0.022540449211279585,0.003829525582844799,1.1
lgsd_16,12,46.141603217925876,2275,False,0.002863311817982121,0.06962921470403671,0.023091269397030358,0.0029241864759843427,1.1
lgsd_16,13,18.231124999932945,886,False,0.003925778405871201,0.14595839381217957,0.023686501764933185,0.003916458472710431,1.1
lgsd_16,14,46.17546997102909,2263,False,0.0035604556337850016,0.1047138199210167,0.022631225062095108,0.0039319658517784845,1.1
lgsd_16,15,43.08034556778148,2104,False,0.003966974181268265,0.14697174727916718,0.022259854309378404,0.0039464434353854265,1.1
lgsd_16,16,50.63865856314078,2484,False,0.0036998244794310578,0.11884966492652893,0.023437115874796577,0.003924283374478851,1.1
opsd_64,1,44.33402305585332,2102,False,0.005991578362412489,0.10337740182876587,0.024408846543384027,,1.1
opsd_64,2,40.19500639708713,1970,False,0.0052903881665262486,0.10527704656124115,0.02283893528703272,,1.1
opsd_64,3,104.18516588304192,4946,False,0.0028259672746436984,0.061047591269016266,0.021472535679987456,,1.1
opsd_64,4,174.39559291000478,7992,False,0.0026478747337556874,0.05289990082383156,0.020868020461078152,,1.1
opsd_64,5,49.629111187998205,2441,False,0.0026245518594778788,0.054290447384119034,0.02129979683252438,,1.1
opsd_64,6,33.430075716925785,1656,False,0.005728353766481513,0.10344098508358002,0.02167291119453023,,1.1
opsd_64,7,50.81878719921224,2495,False,0.005162157420673687,0.10931489616632462,0.021969716942289358,,1.1
