scope,n_queries,n_tokens,mean_raw_variance,mean_projected_variance,mean_variance_reduction_pct,lower_count,tied_count,higher_count,lower_pct,tied_pct,higher_pct,query_replicates,inference_scope
query_1,1,10130,0.0005446332462312219,0.0002846746073776974,47.73095301331644,3731,4594,1805,36.83119447186574,45.350444225074035,17.818361303060218,1,descriptive_same_prefix_case_study
query_2,1,10240,0.0005859541995440685,0.00014625095679276807,75.04054806560546,4242,4282,1716,41.42578125,41.81640625,16.7578125,1,descriptive_same_prefix_case_study
query_3,1,3770,0.0014962562338324667,0.00021865020336766234,85.38684762518128,1857,1310,603,49.257294429708224,34.748010610079575,15.994694960212202,1,descriptive_same_prefix_case_study
all_queries,3,24140,0.0007107784502569155,0.00021564518794490913,69.66070259066481,9830,10186,4124,40.72079536039768,42.19552609776305,17.08367854183927,3,descriptive_same_prefix_case_study
