method,training_seed,accelerator,gpu_count,active_training_hours,checkpoint_mib,peak_allocated_gib
OPSD,1479179816,H100,1,4.814515798063367,348.8136987686157,22.345954418182373
LGSD,1479179816,H100,1,4.604663250461907,348.8136968612671,22.339316844940186
OPSD,1266198024,H100,1,4.551793481545562,348.81363677978516,22.339792728424072
LGSD,1266198024,H100,1,4.314545090595816,348.81363677978516,22.340949535369873
