reference,reference_label,method,method_label,dataset,n,reference_correct,reference_acc1,reference_acc1_ci_low,reference_acc1_ci_high,method_correct,method_acc1,method_acc1_ci_low,method_acc1_ci_high,delta_acc1,delta_percentage_points,delta_ci_low,delta_ci_high,wrong_to_correct,correct_to_wrong,discordant_pairs,mcnemar_exact_two_sided_p,bootstrap_unit,bootstrap_replicates,bootstrap_seed,estimand
privileged_64,Privilege-SD 64,trsd_64,TRSD 64,combined,143,90,0.6293706293706294,0.5454545454545454,0.7062937062937062,102,0.7132867132867133,0.6363636363636364,0.7832167832167832,0.08391608391608396,8.391608391608397,0.027972027972027913,0.14685314685314688,16,4,20,0.01181793212890625,paired_query,10000,20261808,strict_acc1_full_denominator_unfinished_is_wrong
privileged_64,Privilege-SD 64,trsd_64,TRSD 64,amc23,83,64,0.7710843373493976,0.6746987951807228,0.8554216867469879,70,0.8433734939759037,0.7590361445783133,0.9156626506024096,0.07228915662650603,7.2289156626506035,0.0,0.14457831325301207,8,2,10,0.109375,paired_query,10000,20261809,strict_acc1_full_denominator_unfinished_is_wrong
privileged_64,Privilege-SD 64,trsd_64,TRSD 64,aime24,30,17,0.5666666666666667,0.4,0.7333333333333333,19,0.6333333333333333,0.4666666666666667,0.8,0.06666666666666665,6.666666666666665,-0.06666666666666665,0.19999999999999996,3,1,4,0.625,paired_query,10000,20261810,strict_acc1_full_denominator_unfinished_is_wrong
privileged_64,Privilege-SD 64,trsd_64,TRSD 64,aime25,30,9,0.3,0.13333333333333333,0.4666666666666667,13,0.43333333333333335,0.26666666666666666,0.6,0.13333333333333336,13.333333333333336,0.0,0.3,5,1,6,0.21875,paired_query,10000,20261811,strict_acc1_full_denominator_unfinished_is_wrong
