method,method_label,strict_acc1,mean_generated_tokens,mean_generation_seconds,aggregate_gpu_hours,peak_gpu_allocated_gib,relative_seconds_vs_base,status
base,Base,0.5384615384615384,7748.825174825175,212.63552700628696,8.446355656083066,16.782519340515137,1.0,complete
privileged_16,Privilege-SD 16,0.5664335664335665,7713.888111888112,318.24461210847727,12.641383203197845,16.863823413848877,1.4966671684128672,complete
trsd_16,TRSD 16,,,,,,,not_reported
privileged_64,Privilege-SD 64,0.6293706293706294,6318.132867132867,282.1331893596147,11.206957244006917,16.863791942596436,1.326839373136705,complete
trsd_64,TRSD 64,0.7132867132867133,5985.902097902098,266.71335656277694,10.594447219021419,16.863791942596436,1.2543217039873635,complete
