method,optimizer_steps,lexicon_style_logprob_shift,lexicon_style_ci_low,lexicon_style_ci_high,anchored_policy_jsd,anchored_policy_jsd_ci_low,anchored_policy_jsd_ci_high,entropy_retention,anchor_queries
Privilege-SD 64,64,0.1269643682263273,0.11746708575132464,0.1373336404179919,0.038466192461783066,0.030574511940358207,0.04689209896605462,0.9070265684276819,32
TRSD 64,64,0.07633552349567098,0.07126956976494149,0.0812944463133139,0.04749290898325853,0.03869894426316023,0.05710918258409947,0.6471037613227963,32
