train_seed,decode_seed,method,method_label,episode,token_cap,correct,n,accuracy,median_generated_tokens,mean_generated_tokens,cap_hits,cap_hit_rate,reverse_kl_to_base_nats
base,20260809,base,Base,0,10240,103,143,0.7202797202797203,3815.0,4977.5034965034965,37,0.25874125874125875,0.0
0,20260809,opsd,OPSD,16,10240,106,143,0.7412587412587412,2090.0,3599.5174825174827,22,0.15384615384615385,0.00711936945663183
0,20260809,opsd,OPSD,32,10240,86,143,0.6013986013986014,947.0,1355.8181818181818,1,0.006993006993006993,0.05179478274658322
0,20260809,opsd,OPSD,48,10240,58,143,0.40559440559440557,281.0,347.94405594405595,0,0.0,0.1286673672730103
0,20260809,opsd,OPSD,64,10240,28,143,0.1958041958041958,112.0,3358.769230769231,46,0.32167832167832167,0.18338899419177324
0,20260809,lgsd,LGSD,16,10240,108,143,0.7552447552447552,3125.0,4548.237762237763,27,0.1888111888111888,0.0021376392542151734
0,20260809,lgsd,LGSD,32,10240,112,143,0.7832167832167832,2058.0,3575.097902097902,16,0.11188811188811189,0.0121120071344194
0,20260809,lgsd,LGSD,48,10240,95,143,0.6643356643356644,1375.0,2765.769230769231,6,0.04195804195804196,0.041573730908567086
0,20260809,lgsd,LGSD,64,10240,82,143,0.5734265734265734,1032.0,1615.020979020979,1,0.006993006993006993,0.09662126092007384
