method,queries,anchor_positions,reverse_kl_to_base_nats,reverse_kl_ci_low,reverse_kl_ci_high,entropy_retention
OPSD,32,503,0.18338899419177324,0.1507308903383091,0.21992276818491518,0.7299164701253176
LGSD (TRSD),32,503,0.09662126092007384,0.0742762052686885,0.12468076695222408,0.8906992394477129
