method,radius,mean_alpha,target_kl_raw,pref_acc_final,policy_kl_raw,style_raw,pref_gain_raw_250,pref_gain_raw_500,pref_gain_raw_1000
Base,0,,0.0,0.5466666666666666,0.0,0.0,0.0,0.0,0.0
LGSD-Small,0.001,0.3389781615465575,0.011599229303771445,0.56,0.8122304206447384,0.9732512723541418,1.2636703680950365,0.9055725789368929,1.0893172564955538
LGSD-Medium,0.004,0.4845970259048838,0.05280591821590435,0.5583333333333333,0.9061164526237601,0.9709265474276915,1.285377992040327,1.1193192869811384,1.194029383821387
LGSD-Large,0.016,0.67780248521794,0.1723861687615063,0.545,1.030656210151887,1.081334649639249,1.1795165127680651,0.8967032410158852,1.4524147489521702
OPSD,Raw,1.0,1.0,0.5616666666666666,1.0,1.0,1.0,1.0,1.0
