method,checkpoint,radius,mean_alpha_token,mean_alpha_episode,target_kl,target_kl_raw,preferred_mean_logprob,rejected_mean_logprob,preference_margin,preference_gain,preference_gain_raw,locality_surplus,preference_accuracy,pair_count,response_tokens,readout
Base,0,0,,,0.0,0.0,-1.2819064325319418,-1.3427732459471093,0.060866813415167476,0.0,0.0,,0.5466666666666666,600,0,Frozen reference
LGSD-Small,1000,0.001,0.3389781615465575,0.33025,0.0005651469938406016,0.011599229303771445,-2.0423000959234945,-2.1831910483767483,0.14089095245325378,0.0800241390380863,1.0893172564955536,1.0777180271917821,0.56,600,493121,Minimal target movement
LGSD-Medium,1000,0.004,0.4845970259048838,0.47096875,0.002572852484863597,0.05280591821590435,-2.178688098887031,-2.3272714823434018,0.14858338345637034,0.08771657004120287,1.1940293838213867,1.1412234656054823,0.5583333333333333,600,481222,Gain grows with radius
LGSD-Large,1000,0.016,0.67780248521794,0.66240625,0.008399137779230473,0.1723861687615063,-2.3471670857603133,-2.5147321444461324,0.16756505868581886,0.10669824527065139,1.4524147489521697,1.2800285801906635,0.545,600,491305,Peak preference gain
LGSD-High,1000,0.040,0.7720919145690313,0.8130625,0.01894159308558429,0.3887623644343262,-1.9281319017310905,-2.076411993657399,0.1482800919263083,0.08741327851114084,1.1899008708324714,0.8011385063981452,0.5516666666666666,600,380190,Converges toward OPSD
OPSD,1000,Raw,1.0,1.0,0.04872280554509309,1.0,-1.992675136583413,-2.1270046061356296,0.13432946955221634,0.07346265613704886,1.0,0.0,0.5616666666666666,600,496821,Full proposal
