branch,episode,episode_seconds,mean_teacher_student_kl,other_abs_error_mean,other_token_frac,style_abs_error_mean,style_task_ratio,style_token_frac,task_abs_error_mean,task_token_frac
Privileged,29,186.0560578519944,0.013903997069256383,0.04795563273075605,0.7780525502318393,0.1823426004666001,1.6989381773157943,0.02071097372488408,0.011045983310119347,0.20123647604327666
Privileged,27,310.82057138101663,0.007410779407985223,0.034916775892508876,0.634935220067996,0.10536000920438218,0.42303265128616163,0.015988238537168062,0.011407273792850246,0.34907654139483596
Privileged,6,114.52000043803127,0.025141286798631042,0.07290023966220462,0.89738430583501,0.13492629802332515,2.06634437095337,0.028420523138832997,0.025012110047421213,0.07419517102615694
Privileged,26,344.98120968899457,0.014873045039911792,0.057137488731826655,0.6743877127438771,0.21517485454990276,1.7093789146594647,0.019842258198422582,0.008168632492823605,0.3057700290577003
Privileged,2,241.8875040250132,0.005890885716351265,0.03043363457483961,0.6580749595318143,0.10051366823528884,0.5620369985327982,0.013572406923172705,0.0073922489645086,0.3283526335450131
Privileged,9,179.18132511299336,0.014074709590754896,0.0529325787124564,0.8827329995154256,0.13164949417114258,1.219758728600356,0.011629785172023906,0.011882286188434753,0.10563721531255048
Privileged,24,100.62672892899718,0.00755096529119027,0.0329371256347873,0.6426126640045636,0.07790053685506185,0.33612000109180684,0.017113519680547633,0.011656197598274276,0.3402738163148888
Privileged,18,226.27592681895476,0.014183210355712576,0.056571963860274424,0.8565228491192239,0.10769042278307056,1.5603481780525978,0.02821036507531274,0.01689118377922117,0.11526678580546336
Privileged,20,154.302835157956,0.010178392463943753,0.04687756943634454,0.7211484331018952,0.1311247389195329,1.3131750183771247,0.022142991180334023,0.008613069155062849,0.25670857571777067
Privileged,17,306.9321942909737,0.005044734626721958,0.0341761201592852,0.615399043421176,0.13150546155168336,1.6054667929449822,0.020913438994654414,0.0047102018752744855,0.36368751758416956
Privileged,7,281.0107676619664,0.010607354177873793,0.04529936894845801,0.870020325203252,0.12840628322166733,1.2791228972712236,0.01605691056910569,0.014148991199394723,0.11392276422764228
Privileged,19,111.83031131903408,0.022918773289180468,0.06600409652948608,0.8099793174767321,0.13007921642727321,0.7481075734692656,0.01861427094105481,0.018882645021556548,0.17140641158221304
Privileged,28,464.2223871529568,0.005575973286229739,0.03222983768725877,0.5939345472440944,0.14020060315544222,0.4827405092959419,0.009965551181102362,0.007306892654506626,0.3960999015748031
Privileged,12,350.58350135799265,0.007581942621282512,0.04022269560225099,0.7235159068547065,0.1266185083696919,0.6972901158857027,0.015250901935060675,0.010601098179742367,0.26123319121023286
Privileged,30,258.3885086600203,0.008926048929365441,0.0377376309734425,0.7406052544063851,0.11435907704818651,1.0613252183901087,0.022946458264050548,0.010456868532505385,0.23644828732956436
Privileged,8,377.32190390798496,0.013100983930663229,0.053935493814877715,0.7766151046405824,0.15094514440317622,1.0551923562341403,0.023127085228996057,0.016520338769845554,0.2002578101304216
Privileged,15,347.8567248179461,0.008559969179731175,0.0451763354833784,0.722652388797364,0.12259968416190442,0.902574865750925,0.013344316309719934,0.006865830800834572,0.26400329489291596
Privileged,21,188.62502884696005,0.009413266512245744,0.043661162975711446,0.7783394607843137,0.0754838922749395,1.334795429636898,0.028186274509803922,0.008238611953747433,0.19347426470588236
Privileged,3,359.1766616649693,0.004313911086581374,0.03369629188779766,0.5700081499592502,0.10092179398787648,0.4907597478297561,0.012387938060309698,0.006100290180834637,0.4176039119804401
Privileged,16,254.87564576003933,0.011906790983614007,0.046025441623423896,0.9041203547771416,0.07303701514225168,4.198554059393147,0.03963175030874593,0.012256888810270084,0.056247894914112494
Privileged,14,467.23762101103785,0.009198153136633228,0.046077654208356175,0.7900572907041212,0.11501452517708696,1.4349604487042877,0.02211544384894967,0.00943734396399338,0.1878272654469291
Privileged,23,115.32336512202164,0.016056023644763343,0.057807182276164916,0.6413862380713209,0.15272410162563982,0.5398768969513,0.014565544952285283,0.01197623371207801,0.34404821697639376
Privileged,1,162.00350492697908,0.018328724268610222,0.05579960616120736,0.9203392955928453,0.17331622482894302,9.166600396832935,0.028397565922920892,0.01047386196877459,0.05126313848423382
Privileged,22,127.39907229295932,0.010366380150273281,0.047301702817742465,0.6229656419529838,0.08458559136641652,0.383793857235829,0.02147377938517179,0.01331046577933785,0.3555605786618445
Privileged,4,243.71769848000258,0.013968594878947157,0.05698688696388644,0.8683589138134593,0.14980384556934087,2.01278900287351,0.023376623376623377,0.016070173506908356,0.10826446280991736
Privileged,11,128.17050704499707,0.010469573186846973,0.043950126767492055,0.8058624577226606,0.08498893663721177,0.82725534646607,0.02322435174746336,0.013960174017028003,0.170913190529876
Privileged,25,246.54832358501153,0.011119414631072046,0.03984723113066934,0.7831899558242269,0.12965128354937117,1.3758170191181551,0.02487793536386887,0.012214701078935943,0.1919321088119042
Privileged,5,167.57220603595488,0.007134504364603579,0.038822363730206845,0.5472961373390558,0.09863157272338867,0.3071769704667687,0.013733905579399141,0.010045847111397253,0.43896995708154507
Privileged,10,271.93611835100455,0.013695876956676742,0.05633615349271032,0.8447799277057197,0.10160164466271034,1.1568451436540939,0.02764193068254306,0.019029072125752767,0.1275781416117372
Privileged,13,102.86207311204635,0.015775255444045812,0.05691247114324933,0.8489876265466817,0.0936197930193962,0.815219085211682,0.026434195725534307,0.02436786419112849,0.12457817772778403
