branch,episode,episode_seconds,mean_teacher_student_kl,other_abs_error_mean,other_token_frac,style_abs_error_mean,style_task_ratio,style_token_frac,task_abs_error_mean,task_token_frac
Trust-Region Clean,6,172.99307173100533,0.020551100359726095,0.06558902130694194,0.8889623265036352,0.1524550821874049,1.5083208817051619,0.025446133509583607,0.030049629653282606,0.08559153998678123
Trust-Region Clean,26,416.5885155010037,0.01203587782628448,0.04726848220934677,0.7063315088857355,0.17775949453696227,1.3481808945897722,0.021082505574700993,0.010197725991063267,0.2725859855395635
Trust-Region Clean,8,293.1460657349671,0.010578729319061073,0.045253323578310474,0.7841580323424034,0.11829245869238772,1.493791102619856,0.01926987508472935,0.007762904237643839,0.19657209257286723
Trust-Region Clean,28,456.12442219397053,0.005294821972224388,0.03418914356334726,0.6035310039370079,0.108016844718687,0.5484033419807555,0.011441929133858268,0.005853281175010329,0.38502706692913385
Trust-Region Clean,3,463.20918371801963,0.004098701543239404,0.029501060201882215,0.627341054706752,0.08738151907223707,0.2841844139913984,0.010534746180384425,0.00894511366588155,0.3621241991128635
Trust-Region Clean,23,135.70751655392814,0.012469206830315337,0.05165284018327431,0.6392206159648021,0.09842535165640023,0.6894070422404943,0.016341923318667503,0.006773670224377709,0.3444374607165305
Trust-Region Clean,5,155.22462335700402,0.008417617464424425,0.042031109669028434,0.6502932551319648,0.09335144120033341,0.5449156410851301,0.018145161290322582,0.009375369239077508,0.3315615835777126
Trust-Region Clean,17,327.2577501239721,0.005020735516983628,0.036381512516294005,0.5905101242721822,0.08187707265218098,0.6644482331365894,0.01772833927174763,0.005576316508552937,0.3917615364560702
Trust-Region Clean,20,173.73592509294394,0.009041747039342239,0.04697671824920239,0.6964052287581699,0.10910583164380944,0.9438889280282883,0.018790849673202614,0.00762653952689945,0.28480392156862744
Trust-Region Clean,22,172.04124786506873,0.009817889277970648,0.043446799770187894,0.598140152773165,0.0932870070139567,0.41493504611284127,0.019926934573231483,0.011729903843091883,0.38193291265360346
Trust-Region Clean,7,458.5589715800015,0.009231217673645566,0.04479815371548991,0.811882418743397,0.13888955116271973,0.9351884636000325,0.013423652973712013,0.011412041418834836,0.17469392828289107
Trust-Region Clean,29,414.7832383309724,0.011955593190552564,0.04790005434731046,0.7211754302428406,0.15244272020128039,1.0575657303900239,0.018366097544384737,0.010164305696166132,0.2604584722127746
Trust-Region Clean,9,290.2931508249603,0.013230117543461116,0.05080313060826674,0.8723882054286273,0.12175709954623519,1.0668877470513363,0.014157391134544034,0.014240900128310396,0.11345440343682875
Trust-Region Clean,18,256.5419166079955,0.013588071912313248,0.05107385162945357,0.848106855061265,0.12406705889785499,1.2635213875048068,0.03146042609559554,0.025650391548079816,0.12043271884313941
Trust-Region Clean,4,420.0750700420467,0.009535080102004208,0.04806890164310474,0.8120718887758562,0.09015195546042881,0.9615833039453664,0.02109189555781621,0.011852597027290157,0.16683621566632756
Trust-Region Clean,2,230.06953061796958,0.006764135861760856,0.034081414972954485,0.7181978798586572,0.06495132446289062,0.5487439669952172,0.01829883897021706,0.008219696096076819,0.2635032811711257
Trust-Region Clean,12,200.22917240596144,0.00907400780030199,0.04284485330943005,0.7170697012802276,0.08729089566362583,0.3317811374307525,0.017496443812233285,0.017342461139315066,0.2654338549075391
Trust-Region Clean,19,176.74774232401978,0.0250536539948,0.07120955393985713,0.7786529496865455,0.1751858637883113,0.911782570808572,0.014627873332261693,0.013595907350721107,0.20671917698119274
Trust-Region Clean,14,410.9593719879631,0.010544272920652837,0.05057834665808485,0.8013717611195788,0.11075255370224922,0.8279337495173189,0.019467922959678537,0.014535700362132486,0.1791603159207427
Trust-Region Clean,11,154.20725691400003,0.011347493603549365,0.0476135645495704,0.8035217794253939,0.10586552503632336,1.5457678489108748,0.022798887859128824,0.008990333581555996,0.17367933271547728
Trust-Region Clean,15,298.9604899419937,0.00875867240322122,0.04634237570104605,0.7213625212304209,0.12410867781866164,0.9324820044099986,0.011889035667107,0.005932072172917196,0.26674844310247214
Trust-Region Clean,10,249.3980446800124,0.012857382000003017,0.051321286612895235,0.8754424021006965,0.08003656934983659,0.8737984888971266,0.023061993378239526,0.020812621400916803,0.10149560452106404
Trust-Region Clean,25,167.50275163794868,0.012429633593630944,0.039541902828179404,0.869579945799458,0.09963332431417116,1.4242587800852375,0.024051490514905148,0.015817739401653316,0.10636856368563685
Trust-Region Clean,27,281.2307040790329,0.006988486161159327,0.03398813374448679,0.6562061359534791,0.11503680268226311,0.6555763562573509,0.017144575897333068,0.009209977109568335,0.32664928814918787
Trust-Region Clean,16,328.03899704897776,0.010796926746975157,0.04615686452966707,0.9195940671350508,0.08913601798694219,3.173757391613034,0.03131234278775263,0.017913080356988804,0.04909359007719664
Trust-Region Clean,21,99.7640581720043,0.012608854276901584,0.04439625516264878,0.7824858757062146,0.10865519306447247,1.9977646089471892,0.028531073446327684,0.008211101651726282,0.18898305084745762
Trust-Region Clean,24,120.04314416798297,0.0069820304871958516,0.03296627069628516,0.6524419155998104,0.06787578876201923,0.29376239722064135,0.012328117591275486,0.008497136991465783,0.3352299668089142
Trust-Region Clean,1,160.80662326997845,0.01787460303246953,0.05512737602061152,0.9203392955928453,0.170966928655451,8.859582858122085,0.028397565922920892,0.010689927519654198,0.05126313848423382
Trust-Region Clean,13,138.5521166450344,0.013911781758408166,0.052549015612898736,0.8095729317103363,0.0890341921969577,0.6105702470924614,0.022900763358778626,0.01993370995732951,0.16752630493088508
