query_id,source,privileged_sd_64_apjsd,trsd_64_apjsd,paired_delta
amc23:3f1690da831c19579866169a921172ddf33989c23288d773b56fe6e4d3b90453,amc23,0.06329810619354248,0.06690714508295059,0.0036090388894081116
amc23:34f4eefeef254c3a884a85c1c95fcbf5a3470810327b2f6a0efa3f2bc1645f59,amc23,0.010600224137306213,0.010685103014111519,8.487887680530548e-05
amc23:d8be75e401c85ac9cbb59c23ce5db98a46bcdbc20a3859432d3e6c100c944874,amc23,0.032049551606178284,0.04069361090660095,0.008644059300422668
aime25:a3145c72cb6b4a78a74d3e97d669d29a5eeb277efb9f6492e9873d0d3fbfd0c4,aime25,0.06021764874458313,0.0713871419429779,0.011169493198394775
amc23:a4b1b6d256739cb4069a3eb0f39780e2949541618d3b2f5dca0a98a103a4fe3f,amc23,0.07773846387863159,0.09067997336387634,0.012941509485244751
aime24:43afc8d2eb636c35477cc9ac8f1db3563134d10673beb9fb808c45dbc3021e51,aime24,0.02788834273815155,0.03473581373691559,0.006847470998764038
amc23:698343f47eddf760b7d123e1c71022dd959481f5a399b7808c07b85478b4d429,amc23,0.019123410806059837,0.020658090710639954,0.0015346799045801163
amc23:3892f9b402cc1d4397e455e7089d89f26d79e7b23c70641bfd48aad6b2bcfad1,amc23,0.008913512341678143,0.012412876822054386,0.0034993644803762436
amc23:ad788c6148fcbff56c1020045accf4196e61cca7bb79b2ebba00ab5fcabcdace,amc23,0.02173626236617565,0.044830236583948135,0.023093974217772484
amc23:5716b1b1c4594746531529f5053ad11baa3547a5c1749f205cd888a38684a97e,amc23,0.07586096972227097,0.08271856606006622,0.006857596337795258
amc23:f870fac68b39e70cf099bfb00bc8e209f50e5bf971b2235fae70b8fcef416c6b,amc23,0.02969893254339695,0.032673098146915436,0.002974165603518486
amc23:58acf5dc1f9727ce938f56f20027e414f8a659298989aaf03fd200637a052df8,amc23,0.024216465651988983,0.040667206048965454,0.01645074039697647
amc23:7fb869044130dbc4b46c9b0be3702d8cab9143fe52c089694f0e93315b931b1b,amc23,0.03780033811926842,0.05657539889216423,0.018775060772895813
amc23:ee87beeb37a38aaf69fbae16f50f1a29b67ba132258875a444b04974a83a1f36,amc23,0.0104293217882514,0.008946126326918602,-0.001483195461332798
amc23:81d580f5223b433e347e989677a0e1344a8503a15c1910968ada106d0db1c6fb,amc23,0.0195426307618618,0.018142957240343094,-0.0013996735215187073
amc23:bbac3f52c8639878c026e2f5bba5b6259aa35376ae7508468cdade8ffd559214,amc23,0.06695881485939026,0.07375847548246384,0.006799660623073578
aime25:5929f4e54395fb2b0307ee301f378585b1ab7198464ade7e5b24d85fe997ba64,aime25,0.04829094558954239,0.07310160994529724,0.024810664355754852
amc23:d31000037cb3644393d26e571c65e04594f86638450b81264d7afaa99a381424,amc23,0.029719362035393715,0.041143231093883514,0.0114238690584898
amc23:b4dc7e5ecb380931af87eaba0cab03290a583a827b1fc07e5339a8746cd64714,amc23,0.03181017190217972,0.03528803214430809,0.003477860242128372
amc23:1dfd51df023fb8dfae8597934e33833b5452340070de57effb11919c9ed03bd9,amc23,0.028098758310079575,0.03891095146536827,0.010812193155288696
amc23:f4205ea4b7ccc91f035f07c9dab5a6bea9da1345980c68717b4c5752e2770da7,amc23,0.011238298378884792,0.008717553690075874,-0.002520744688808918
amc23:81371eaa87d2e9f9e9f02f961589b0db553f40722a9016043ea2c83d74a6afbd,amc23,0.021803151816129684,0.03476849943399429,0.012965347617864609
amc23:6529281306a5556f2db9b18525e46452f6f434440ea85593b77c4178f76b4486,amc23,0.02792973816394806,0.043758492916822433,0.015828754752874374
amc23:34b7e15dd5e80ce908acd5ffc9ef6872ad9a431acd41064f96910a3a21cda033,amc23,0.04178072512149811,0.05301930755376816,0.01123858243227005
amc23:fc61934c458afc9cb297c62cbad9d3e1f14c4030c57317b38974c14c851701a6,amc23,0.08869166672229767,0.1019715666770935,0.013279899954795837
aime24:4ac3065bc26a845b46441d6ac16384a62e01f9a7c595720272bbc0b316201e6d,aime24,0.05400330573320389,0.06267642974853516,0.008673124015331268
amc23:41eb3f5f38c5931eaf64054a5654ff42abafa6d50eb6dccf93159cabdf2435fe,amc23,0.014888308942317963,0.01473034918308258,-0.00015795975923538208
amc23:887a1c3ca2685a71c47a6c01ba448769d51c198ea517b8f55d3e741876b4088d,amc23,0.043026067316532135,0.05252404883503914,0.009497981518507004
amc23:6bc26377a24cf0a1b625373d8ea738bd6ec8432a2b11e88a33c19012d7fd0129,amc23,0.04716859012842178,0.06012194603681564,0.01295335590839386
amc23:bc3ba284e49260cf117c0de67d0e8298b140d1b0c85998e84a01813dd192d43a,amc23,0.03177801892161369,0.037411268800497055,0.005633249878883362
amc23:c44d27282e47a9f05c02254b9072913d8f6bb1fb4775890ed8a107143a2ad64a,amc23,0.09709443151950836,0.11655318737030029,0.01945875585079193
aime24:d7c47fba84b4bcd1b0fac5a069b1924a7827f3b015be620b42ae4c4e729d33b3,aime24,0.027523621916770935,0.03860479220747948,0.011081170290708542
