query_id,mean_alpha,useful_fidelity_retained,distribution_movement_retained
deepmath:09784cfb47e41115dc51267e6c3e52ad8bdc7b870b03bc793d0577676887dcd8,0.020543416341145832,0.13363312463906746,0.042125997861382554
deepmath:0979e6a99f3a095a3a0eb8907a55b6f09c4abe9a580d7631d537fea097514d2e,0.018890380859375,0.06302076610862287,0.04188582218608325
deepmath:097c4e36ad570b0e28d4edb5e7abe9c1b3c601e23e3b0e6050302231394bbff8,0.036570231119791664,0.16374606447586076,0.043768868019267694
deepmath:097fc203fe399e6fff4def0459f1d4d5d955292ce63ad546d15a252baee2d0cc,0.015406290690104166,0.24586413074771424,0.17631062826438434
deepmath:098293e31a70326f52766a72090abcdc0a5a31ab4f31bc4d1de13ae3e2eac6cc,0.1265869140625,0.29747635222283364,0.02731216781571431
deepmath:0985e2727b144ec6c7eec331a0cb00b5d1bc3d14e4e679151f45ac729062c453,0.012491861979166666,0.1819192030580903,0.12201709449220272
deepmath:098625ed1a0a28c422deaf39d3dc756bc983160b3532ef5001d826bfe3bed751,0.0289459228515625,0.11933201761394809,0.02300360979928083
deepmath:0986789453ee457f1bd17a42a20acba85cdc693a5bfaa70a53dcfce7f1dcd5fd,0.018061319986979168,0.04901376959529884,0.042467947672356426
deepmath:09876f4407f3db9cd94a1d90eb6bfb86bb0cfbe8176fac1a5356e5e145d6c06c,0.01235198974609375,0.18820009653957695,0.12435020905485737
deepmath:09882f8590bd22268f277f2dbbfeec2841966e72b8dc3fd645db90b4e15ce818,0.0147247314453125,0.09159578319891275,0.05612494458655217
deepmath:098b19c11a647fcc64ac88b82b18d8d333f85d0198fefe95d7226d895c300e49,0.08797200520833333,0.18778407090159385,0.025231306278805612
deepmath:098c29075dab3f89590b60a28f1d8e83f315ffad0549d6d07a0924d667ac911c,0.0287322998046875,0.15839296653387386,0.02151509712254749
deepmath:098e6d1a2da00d07fb7a8e17a9e8a9609180809e7bf0ae7f001d7b69aeb2e2da,0.020528157552083332,0.17554365257663662,0.03285491756340259
deepmath:0990a7c0704133f27fbb7b0a2bc749746314cd194a3e3fc3d9510b52c9d78d1d,0.013036092122395834,0.043464575968519575,0.030388347014414938
deepmath:0992d557da9a733ada52907c22a180d2e5bf1b891ffdefc6021c22be354155be,0.014994303385416666,0.055159586709184034,0.038132446167943986
deepmath:09954cfd57b39b9176e85bdc8e58ad9eb371745a6173fcc6dcb7c31db75ad259,0.029424031575520832,0.07319667936574129,0.04158589080831097
deepmath:0998c41ffef1980c666a24211d20c386e7d58eb57e216b61ca830c8cc83c3bf0,0.021367390950520832,0.14640186488828624,0.032207152195736305
deepmath:099a994d0d65144cf8cb053790b4dd6a3bbd9f9b49d5284d021311eff95d933a,0.040008544921875,0.1467147878803744,0.019952581729895877
deepmath:099ac78d266ba870d4b0545a0115391d668b2258c5e78d8ed1969e9c1b474e54,0.013829549153645834,0.06804217187713552,0.05128979567853929
deepmath:099d07b672420c9a0bfa5977ea2a11f0ba3acc46e28d893d593ffc3fb0bfa51b,0.026326497395833332,0.05482164438720013,0.07823066503277108
deepmath:099ebcdf7ba3f6358421f11d8f41cbd1e384df87c96c78e9d3d78eee40567974,0.018259684244791668,0.083204391940948,0.04417174964464881
deepmath:099ee4a251d25916b3a98a3aa9ad1332e1bdd4f41828053469c3caea41e9f076,0.01146697998046875,0.037117869643794404,0.07417641535057741
deepmath:09a03e17dfe1a0b102ba41b176cdbb69d856e12908b1bd75eaa22ff0e9a0bd1d,0.010714213053385416,0.05337456888243914,0.050951163347512964
deepmath:09a0b598fc574015a29740886e8cbf4f7cc3db13be39d4897b76c518ad682a94,0.1097412109375,0.27166639769079365,0.007794890173030923
deepmath:09a4663639e0e554e9b4535ad7c6df3c4c9112ab8be62d7d3115be4abbb7016f,0.06406656901041667,0.1874904192357878,0.061613787396208035
deepmath:09a80419d6f117ccdc7d8934d792434e4bbfd168a814e4f2569309c513468d63,0.013781229654947916,0.1682606737809541,0.08529708974218123
deepmath:09ad1fb5371a883b6d56ba86bdcbb8b4bd1031fc6e7b35777c78b211a480a0de,0.10542805989583333,0.3922529818345555,0.03354028181785349
deepmath:09b1888190772324518ad8243833b73cf19fd09f8d53af920d4124b30a541105,0.012176513671875,0.16396831979497173,0.09506887901206279
deepmath:09b235d0d8287524b64374194187d6e0c87c833b09c151966fd43c6c40c4086c,0.054656982421875,0.24362002004233127,0.07619992174929384
deepmath:09b8b9d9c603d831e881fcc34bff7511da2795df1dba2ed3e8547b076a09ca98,0.044057210286458336,0.15227848101265823,0.042586686778720836
deepmath:09bcac1866fe2b37d4dd16fd8ff262b6b2c433a0e0266cbc7ca194cab0fa3946,0.09501139322916667,0.23311688610828835,0.030483591269972913
deepmath:09c0a69fc4ddad0e7ddcefc9c15a18cdd823d2949b3c60077ea854f2a3e6c628,0.017791748046875,0.04568411554889051,0.09537482998514164
deepmath:09c1229f686dcbb1413d2b91ca0710ced65e5b7b8274454d61098191982421cf,0.01457977294921875,0.04284996555963931,0.08429253194832342
deepmath:09c2ab42bad1fcb9e8267c5b8c2aa38e46d1c783955bb623ed105831cdd8fd56,0.015909830729166668,0.06222357884672891,0.03587386370181943
deepmath:09c40bbc773f188bde7a916ef74b1bf6152573ed41650e9e3fa9170ef4c6ebbb,0.013875325520833334,0.06857844547156067,0.05789014425780705
