episode,query_id,source,response_tokens,optimizer_step,no_op,cumulative_optimizer_steps,cumulative_no_ops,episode_seconds,cumulative_training_seconds,gpu_peak_allocated_bytes,gpu_peak_delta_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_delta_gib,gpu_peak_reserved_gib,trust_region_alpha,trust_region_kl_budget,trust_region_achieved_kl,constraint_active,guard_rejection_rate,guard_note
1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,deepmath,5423,1,0,1,0,156.3525223240722,156.3525223240722,20469400576,3999568384,22561161216,19.06361484527588,3.724888324737549,21.01171875,0.375,0.004,0.003947718393194286,1,N/A,"N/A: TRSD uses KL projection, not a proposal/update rejection guard"
2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,deepmath,7703,1,0,2,0,222.91154208697844,379.26406441105064,22285838336,5487015424,24498929664,20.75530433654785,5.1101813316345215,22.81640625,0.78125,0.004,0.003887960762240106,1,N/A,"N/A: TRSD uses KL projection, not a proposal/update rejection guard"
