branch,mean_candidate_count,mean_db_crossing_rate,mean_db_regression_rate,mean_episode_seconds,mean_frontier_corrective_tokens_selected,mean_frontier_margin_gain_mean,mean_frontier_ratio_corrective,mean_frontier_ratio_wrong,mean_frontier_wrong_tokens_selected,mean_mean_teacher_student_kl,mean_style_abs_error_mean,mean_support_other_tokens,mean_support_tokens,mean_target_margin_attainment,mean_task_abs_error_mean,n_episodes
trust-region-clean,0.0,0.0,0.0,262.85485079830136,0.0,0.0,0.0,0.0,0.0,0.011064084214226836,0.11157897055610531,0.0,0.0,0.0,0.012307315688813245,29
privileged,0.0,0.0,0.0,239.0985440050617,0.0,0.0,0.0,0.0,0.0,0.01166701627897702,0.12242819810564547,0.0,0.0,0.0,0.01236505214586406,29
