branch,n_episodes,mean_support_tokens,mean_frontier_corrective_tokens_selected,mean_frontier_wrong_tokens_selected,mean_support_other_tokens,mean_frontier_ratio_corrective,mean_frontier_ratio_wrong,mean_frontier_margin_gain_mean,mean_db_crossing_rate,mean_db_regression_rate,mean_target_margin_attainment,mean_candidate_count,mean_style_abs_error_mean,mean_task_abs_error_mean,mean_teacher_student_kl,mean_episode_seconds
trust-region-clean,1,768.0,192.0,192.0,384.0,0.25,0.25,10.185785710811615,0.0,0.0,0.0,8.0,0.0021229161844625102,0.002015271632791423,0.0017371976924309667,159.1183424880146
privileged,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12491722901736946,0.007988800371372609,0.009511173690514288,254.35589020565385
