method,best_episode,best_accuracy,episode64_accuracy,episode64_delta_vs_base,normalized_auc_0_64,episode64_kl_to_base,episode64_cap_hit_rate,training_seed_count,decode_seed_for_trace
OPSD,16,0.7412587412587412,0.1958041958041958,-0.5244755244755245,0.5515734265734266,0.18338899419177324,0.32167832167832167,1,20260809
LGSD,32,0.7832167832167832,0.5734265734265734,-0.14685314685314688,0.7124125874125875,0.09662126092007384,0.006993006993006993,1,20260809
