subset,n,lgsd_correct_opsd_wrong,opsd_correct_lgsd_wrong,favorable_from_opsd_cap_hit,mcnemar_exact_two_sided_p
All paired problems,143,16,4,11,0.01181793212890625
Both methods completed,97,5,1,0,0.21875
