method,queries,anchor_positions,normalized_jsd_mean,normalized_jsd_ci_low,normalized_jsd_ci_high,entropy_retention_mean,entropy_retention_ci_low,entropy_retention_ci_high
Privilege-SD 64,32,512,0.038466192461783066,0.030574511940358207,0.04689209896605462,0.9070265684276819,0.8205883260816336,0.9928179606795311
TRSD 64,32,512,0.04749290898325853,0.03869894426316023,0.05710918258409947,0.6471037613227963,0.5643764715641737,0.73544826451689
