query_id,source,method,anchor_positions,normalized_jsd,base_entropy_nats,method_entropy_nats,entropy_retention
amc23:81d580f5223b433e347e989677a0e1344a8503a15c1910968ada106d0db1c6fb,amc23,Privilege-SD 64,16,0.0195426307618618,0.14477494359016418,0.20516332983970642,1.417119026184082
amc23:81d580f5223b433e347e989677a0e1344a8503a15c1910968ada106d0db1c6fb,amc23,TRSD 64,16,0.018142957240343094,0.14477494359016418,0.15927645564079285,1.100165843963623
amc23:bbac3f52c8639878c026e2f5bba5b6259aa35376ae7508468cdade8ffd559214,amc23,Privilege-SD 64,16,0.06695881485939026,0.12244774401187897,0.10394258797168732,0.8488730192184448
amc23:bbac3f52c8639878c026e2f5bba5b6259aa35376ae7508468cdade8ffd559214,amc23,TRSD 64,16,0.07375847548246384,0.12244774401187897,0.07640397548675537,0.6239721179008484
aime25:5929f4e54395fb2b0307ee301f378585b1ab7198464ade7e5b24d85fe997ba64,aime25,Privilege-SD 64,16,0.04829094558954239,0.37325558066368103,0.32500597834587097,0.8707330822944641
aime25:5929f4e54395fb2b0307ee301f378585b1ab7198464ade7e5b24d85fe997ba64,aime25,TRSD 64,16,0.07310160994529724,0.37325558066368103,0.2139405906200409,0.5731745362281799
amc23:d31000037cb3644393d26e571c65e04594f86638450b81264d7afaa99a381424,amc23,Privilege-SD 64,16,0.029719362035393715,0.2813676595687866,0.19484800100326538,0.6925032138824463
amc23:d31000037cb3644393d26e571c65e04594f86638450b81264d7afaa99a381424,amc23,TRSD 64,16,0.041143231093883514,0.2813676595687866,0.1399575173854828,0.4974186420440674
amc23:b4dc7e5ecb380931af87eaba0cab03290a583a827b1fc07e5339a8746cd64714,amc23,Privilege-SD 64,16,0.03181017190217972,0.18387621641159058,0.18301063776016235,0.995292603969574
amc23:b4dc7e5ecb380931af87eaba0cab03290a583a827b1fc07e5339a8746cd64714,amc23,TRSD 64,16,0.03528803214430809,0.18387621641159058,0.1417674422264099,0.7709938883781433
amc23:1dfd51df023fb8dfae8597934e33833b5452340070de57effb11919c9ed03bd9,amc23,Privilege-SD 64,16,0.028098758310079575,0.19166593253612518,0.11942213773727417,0.6230744123458862
amc23:1dfd51df023fb8dfae8597934e33833b5452340070de57effb11919c9ed03bd9,amc23,TRSD 64,16,0.03891095146536827,0.19166593253612518,0.07191766053438187,0.3752240240573883
amc23:f4205ea4b7ccc91f035f07c9dab5a6bea9da1345980c68717b4c5752e2770da7,amc23,Privilege-SD 64,16,0.011238298378884792,0.05693962797522545,0.06518296152353287,1.144773244857788
amc23:f4205ea4b7ccc91f035f07c9dab5a6bea9da1345980c68717b4c5752e2770da7,amc23,TRSD 64,16,0.008717553690075874,0.05693962797522545,0.04965022951364517,0.8719802498817444
amc23:81371eaa87d2e9f9e9f02f961589b0db553f40722a9016043ea2c83d74a6afbd,amc23,Privilege-SD 64,16,0.021803151816129684,0.15964964032173157,0.12095550447702408,0.7576309442520142
